date_time,target_carbon_monoxide,target_benzene,target_nitrogen_oxides
2011-01-01 00:00:00,1.4610786,4.903867,261.42538
2011-01-01 01:00:00,2.3557067,7.913813,177.58168
2011-01-01 02:00:00,2.0687017,6.6042857,367.93405
2011-01-01 03:00:00,1.8875359,8.131039,365.1956
2011-01-01 04:00:00,1.5586843,6.1017294,333.25394
2011-01-01 05:00:00,1.5707655,4.7673306,259.3801
2011-01-01 06:00:00,1.5716736,4.8316774,245.13849
2011-01-01 07:00:00,1.5365376,4.6629596,234.12177
2011-01-01 08:00:00,1.3818088,3.726817,225.10768
2011-01-01 09:00:00,1.5766869,3.2924683,231.87267
2011-01-01 10:00:00,1.586336,4.948439,244.91739
2011-01-01 11:00:00,1.8503233,4.939064,282.24847
2011-01-01 12:00:00,1.7895198,6.931988,297.62863
2011-01-01 13:00:00,2.4887538,9.529431,408.6796
2011-01-01 14:00:00,2.2747297,9.673331,372.2779
2011-01-01 15:00:00,1.8865767,6.967877,321.99332
2011-01-01 16:00:00,2.0289745,9.053793,370.10007
2011-01-01 17:00:00,2.8636634,10.4396515,442.2144
2011-01-01 18:00:00,3.7040973,16.494946,782.3535
2011-01-01 19:00:00,3.061466,13.216437,559.70917
2011-01-01 20:00:00,2.1930108,7.155203,314.69785
2011-01-01 21:00:00,2.1903608,8.7859955,379.63992
2011-01-01 22:00:00,1.441894,6.620397,346.70844
2011-01-01 23:00:00,1.5863873,5.762214,316.40958
2011-01-02 00:00:00,2.0529647,5.9950414,291.2187
2011-01-02 01:00:00,1.6693335,4.8729625,283.61026
2011-01-02 02:00:00,1.2367685,3.5491896,208.97754
2011-01-02 03:00:00,1.4178425,4.5363045,236.805
2011-01-02 04:00:00,1.341661,3.8176332,214.51947
2011-01-02 05:00:00,1.1509593,3.7013006,188.8664
2011-01-02 06:00:00,1.0219315,2.990149,160.21849
2011-01-02 07:00:00,1.270808,3.1533325,201.93721
2011-01-02 08:00:00,1.0355062,3.3216934,165.50233
2011-01-02 09:00:00,1.4232955,5.032704,221.85117
2011-01-02 10:00:00,1.3033535,4.555929,216.90599
2011-01-02 11:00:00,1.9090233,6.9654055,379.33957
2011-01-02 12:00:00,2.3682566,7.4501243,415.05902
2011-01-02 13:00:00,2.6830037,8.589986,404.44272
2011-01-02 14:00:00,1.8605627,7.5181093,342.985
2011-01-02 15:00:00,2.0587857,6.607985,343.08694
2011-01-02 16:00:00,2.4815817,10.155425,401.5652
2011-01-02 17:00:00,2.0963464,7.1732516,343.88052
2011-01-02 18:00:00,2.0227127,8.506844,293.7478
2011-01-02 19:00:00,3.711073,11.921751,554.4495
2011-01-02 20:00:00,3.946979,11.331852,307.56134
2011-01-02 21:00:00,2.6537414,0.16659299,273.39426
2011-01-02 22:00:00,3.2522645,0.24568903,491.16272
2011-01-02 23:00:00,3.4153895,0.021711588,446.35352
2011-01-03 00:00:00,2.578107,-0.21146655,277.75995
2011-01-03 01:00:00,1.0576967,0.08176881,170.46585
2011-01-03 02:00:00,2.3244967,0.3661856,189.64612
2011-01-03 03:00:00,1.3581586,-0.21770531,160.61713
2011-01-03 04:00:00,1.0140983,0.037077874,169.76779
2011-01-03 05:00:00,1.5450805,-0.082022846,147.17256
2011-01-03 06:00:00,1.8726829,0.06346905,217.15831
2011-01-03 07:00:00,1.9066142,0.1272333,255.1655
