id,close
ID_323Sn2,10506.3614859154
ID_325SNW,11354.711253602216
ID_325uzE,6314.201838761365
ID_328qCx,10507.54305640027
ID_3293uJ,10506.667960540879
ID_329H37,12317.417942798398
ID_32DnK8,9297.593565494368
ID_32EeyA,23643.691772236187
ID_32H6TE,9251.625477441326
ID_32Hgdp,7154.939814272858
ID_32KbB4,18451.690025271488
ID_32KwLh,19028.246881559688
ID_32NAZU,22913.40997840827
ID_32NG9u,6950.293025802764
ID_32QXZB,10508.003766727204
ID_32RtNw,7224.422519918011
ID_32SBbT,10506.907549139201
ID_32TcJo,10507.77793699287
ID_32US8U,10029.300321140085
ID_32WsPF,8832.080950537298
ID_32X2os,10508.16753128945
ID_32Xyik,10507.7576938977
ID_32bgoA,10508.498711851295
ID_32bikm,10886.944818358977
ID_32bpeN,9302.185684877539
ID_32c8Zn,11675.637617475586
ID_32d5fZ,8947.53957432213
ID_32jaED,9165.668826740452
ID_32kvcY,10506.3614859154
ID_32mkpU,8152.273478923498
ID_32mwC9,7528.220358378258
ID_32mwwo,7224.033676602937
ID_32nVpo,10507.779448208126
ID_32nz3p,12971.01401315438
ID_32qLEF,18363.56349673863
ID_32rEqz,7593.849659236702
ID_32sMQs,8660.572736041131
ID_32sfVZ,7159.5971200521235
ID_32smMB,10021.891233197515
ID_32tXtL,10507.706406256893
ID_32u25Q,10507.008790766398
ID_32uBYt,8809.31310740553
ID_32uMYp,10507.941275865025
ID_32vFvY,7182.330179392914
ID_32vTy4,10893.285460124709
ID_32vcUs,7519.042493991744
ID_32wExS,8198.197748269982
ID_32zfUL,8505.654907620814
ID_332BDv,47750.41074727295
ID_332yWf,58184.99554127008
ID_333CCE,10508.713957102455
ID_333sYS,6871.036189218471
ID_334imr,9611.550424021983
ID_335TWX,10062.684967842995
ID_339paj,10508.241047123614
ID_33A6dY,7354.034400034431
ID_33BPhv,7076.661119040259
ID_33DjjL,59194.65868441429
ID_33EF4V,7531.579727675533
ID_33FCfj,7163.542665014344
ID_33FF28,10506.512127152322
ID_33Gvss,10506.466971029824
ID_33LbPQ,10508.16753128945
ID_33NpPs,8784.048699660694
ID_33NuA6,10411.026750215198
ID_33VU2z,12759.459849205201
ID_33VpGs,18640.708393491826
ID_33Y9VK,10508.488127368122
ID_33b6EH,10508.241047123614
ID_33bbrz,59485.733696221316
ID_33crLN,9608.552075857935
ID_33fKqA,8830.906007032418
ID_33fpRD,10508.241629470947
ID_33ft29,10466.176061558057
ID_33hXZG,13622.584669947311
ID_33kRQ8,57998.84591844388
ID_33oLY6,9350.251334848386
ID_33pZww,10515.504802541216
ID_33r6Hc,12396.72822603249
ID_33sLsm,13792.1322360483
ID_33tNvW,10506.160780187323
ID_33uKBm,8205.377969304804
ID_33umCa,7374.012111016232
ID_33vXX5,7102.386803778423
ID_33wapu,5501.889915522653
ID_33x2hK,10508.518878254448
